1202									
348	2744.1	4075460	0.71885	0.749447	2561.38	0.000924759	1E-010	3.05333	3.00862
354	2561.93	4075560	0.712515	0.837775	2561.42	0.00106635	1E-010	2.4382	2.98926
360	2776.09	4075010	0.723116	0.811815	2565.69	0.00110923	2.13183	1.32116	3.02641
366	2388.63	4074640	0.727608	1.10017	2571.94	0.001078	1.21782	1.65741	3.01779
372	2628.44	4074890	0.722947	0.877207	2569.87	0.00115469	1.77711	3.47061	2.99921
378	2542.47	4074890	0.734774	0.894924	2569.92	0.00101807	1E-010	4.49462	2.99657
384	2592.73	4074770	0.740491	0.828726	2566.97	0.00107967	1.9633	3.03528	3.00188
390	2599.07	4074630	0.742415	1.142	2565.65	0.00108243	0.423311	2.53052	2.99822
396	2416.33	4074410	0.759978	0.705384	2566.41	0.000989918	1.7551	3.21057	3.00146
402	2615.56	4074290	0.762047	0.815285	2564.44	0.000938189	1.34139	1.94501	3.0113
408	2529.11	4074310	0.769452	0.902289	2563.97	0.000758556	1.90268	3.08869	2.97985
414	2637.29	4074040	0.77207	0.898388	2564.64	0.000737817	1.35431	2.40865	3.00207
420	2431.38	4073630	0.776651	1.12071	2563.25	0.000693233	0.0724803	2.25003	3.00159
426	2446	4073440	0.782287	0.854719	2561.81	0.000777509	0.28775	1.16741	2.99899
432	2424.06	4073320	0.789746	0.753789	2555.34	0.000645103	0.430898	3.45621	2.99484
438	2508.4	4073490	0.788026	0.937754	2556.28	0.000741792	1.67301	1.87971	2.99619
444	2302.61	4073380	0.786467	1.08842	2556.48	0.000763997	0.527338	3.51527	3.00683
450	2598.84	4072790	0.784241	0.894689	2561.01	0.000702668	0.906424	2.45338	2.98751
456	2494.16	4072880	0.805808	0.976071	2565.29	0.000709044	1E-010	3.3312	2.99273
462	2494.74	4072740	0.809751	0.873615	2560.49	0.000631814	2.13067	2.79296	2.99845
468	2571.02	4072370	0.810077	1.24171	2556.42	0.000564923	1.75601	4.12338	3.00214
474	2721.49	4072370	0.808952	0.614875	2559.33	0.000566863	1.49914	3.76013	3.00025
480	2455.04	4071890	0.80951	0.759746	2556.18	0.00052366	1.18159	3.90397	2.99173
486	2473.94	4072090	0.811432	0.994051	2571.98	0.000517371	1.51111	3.2092	2.99739
492	2756.79	4071880	0.827599	0.975517	2589.66	0.00049163	0.784933	4.29118	2.99643
498	2582.81	4071790	0.833187	0.766263	2610.24	0.000466322	0.745266	1.93779	3.00143
504	2515.48	4071860	0.829159	0.862225	2637.65	0.000492771	2.28126	4.41099	2.99628
510	2671.65	4071460	0.836675	0.585934	2659.07	0.000451456	1.46918	3.28868	3.00007
516	2617.95	4071570	0.837747	1.30742	2682.31	0.000495431	1E-010	2.66867	2.99147
522	2682.24	4071340	0.829082	0.747671	2711.86	0.000565362	0.184833	2.17486	3.01402
528	2835.52	4070870	0.837216	0.921068	2730.42	0.000583009	2.49234	2.33827	3.016
534	2669.74	4071100	0.845077	0.833853	2752.25	0.000538432	1E-010	2.73831	2.99878
540	2764.41	4070820	0.851424	0.607588	2777.83	0.00056439	2.31398	2.69621	2.9879
546	2870	4070560	0.853112	0.865064	2805.51	0.00054222	1.28558	2.10262	3.01607
552	3006.62	4070810	0.856212	1.22719	2826.73	0.000584163	2.18108	2.13556	3.01967
558	2995.33	4070520	0.86018	0.976122	2850.33	0.000536421	0.488912	3.67754	2.99204
564	2862.98	4069900	0.868241	0.965366	2869.16	0.000509577	1E-010	2.64236	2.99705
570	2880.5	4069660	0.870539	0.842887	2884.49	0.000449174	1E-010	3.78834	3.00271
576	3063.45	4069890	0.8757	1.08505	2905.6	0.000440417	2.15204	2.41245	3.00381
582	2737.42	4069640	0.88299	1.25913	2930.45	0.000514908	0.117309	2.17281	2.99319
588	2984.57	4069420	0.881653	0.69845	2955	0.000610247	0.656774	3.34563	3.00881
594	3167.95	4069140	0.87939	1.0666	2978.8	0.000703542	0.73396	2.25827	2.99706
600	3065.48	4069020	0.884726	1.38291	3003.15	0.000630755	1.21221	3.77638	3.0089
606	3042.89	4068920	0.886381	1.27997	3021.06	0.000793616	1.42725	4.02628	3.00473
612	3082.93	4068420	0.890624	0.88895	3046.52	0.000880322	0.409718	3.97395	2.99997
618	3067.46	4068110	0.888658	0.883735	3062.21	0.000883315	1.18798	3.38503	3.00868
624	3061.25	4068160	0.912665	1.00923	3083.38	0.000784223	1.27741	3.58507	3.00147
630	3200.58	4067900	0.918253	0.56892	3107.77	0.000808429	3.20687	3.21757	3.00451
636	2863.6	4067370	0.919147	0.882992	3123.79	0.000822393	1.62883	3.71749	2.99302
642	3275.25	4067240	0.930373	0.983195	3142.59	0.000810389	0.625608	3.42079	3.01165
648	3273.51	4067250	0.924448	0.73064	3157.44	0.000858418	1.8088	2.41856	3.00995
654	3006.16	4067100	0.928472	0.955562	3181.95	0.000854514	0.89926	3.26961	2.9917
660	3239.16	4066630	0.941936	1.04546	3204.2	0.000861685	1.11505	3.97262	3.00504
666	3408.64	4066600	0.94636	0.887008	3221.04	0.000754684	2.11252	4.41421	2.99868
672	3322.52	4066230	0.962691	0.982498	3239.41	0.000828698	1.74549	4.55105	3.01349
678	3252.2	4065900	0.947954	0.978998	3259.63	0.000946674	0.698908	1.58704	3.02209
684	3246.05	4065860	0.958268	0.536495	3285.54	0.000986053	1E-010	3.4847	2.98797
690	3106.27	4065680	0.968635	1.20026	3301.05	0.00101493	3.299	4.63116	3.02206
696	3324.26	4065250	0.972046	0.730612	3317.57	0.00102846	1.51523	4.29368	2.98405
702	3306.28	4065200	0.975038	0.727846	3343.72	0.00112607	1E-010	3.45948	2.99046
708	3507.09	4064990	0.974833	1.02713	3367.76	0.00119518	0.0934568	6.38061	3.00272
714	3323.41	4064670	0.985807	1.15253	3392.02	0.00113309	1.44795	4.39835	2.998
720	3406.4	4064220	0.990041	0.915362	3416.2	0.00112265	0.951653	2.14908	3.01037
726	3492.56	4064370	0.999472	0.739027	3436.72	0.00110852	1.9739	4.40095	2.98302
732	3387.32	4063940	1.0159	1.10722	3452.1	0.00109908	2.34461	4.59229	2.98733
738	3464.15	4063580	1.01386	0.80031	3477.56	0.00101082	1E-010	4.45349	3.00145
744	3568.81	4063230	1.02268	0.918681	3495.88	0.00103667	0.164843	3.84112	3.02384
750	3637.35	4063050	1.02179	1.19994	3518.87	0.00117825	2.04923	5.18892	3.01276
756	3616.05	4062810	1.03326	0.981382	3543.27	0.00121356	1.80857	2.79794	3.00703
762	3501.34	4062390	1.04716	1.07855	3568.71	0.00117202	2.0217	5.44867	2.99378
768	3521.92	4062200	1.05128	1.01863	3593.75	0.00125999	3.93486	4.3709	2.99425
774	3428.45	4062090	1.05123	0.890585	3612.97	0.00126331	0.0523035	4.16659	3.0117
780	3311.94	4061930	1.05065	0.890103	3634.86	0.00122407	1.7235	5.32186	2.98917
786	3630.22	4061660	1.06231	1.01461	3659.15	0.001217	1.06593	4.23455	2.99787
792	3781.9	4061740	1.07803	1.09071	3675.93	0.00113299	0.68858	3.66596	2.99291
798	3602.1	4061200	1.08737	0.710344	3701.43	0.00112287	2.50355	4.60672	2.98273
804	3781.08	4060800	1.08969	0.691636	3725.02	0.00122193	2.83017	3.02134	3.01678
810	3804.24	4060510	1.096	0.906777	3747.54	0.00106905	3.55102	3.84418	2.98791
816	3850.8	4060400	1.10618	0.871552	3769.05	0.00116252	1.49802	5.45795	3.00113
822	3665.17	4059840	1.11468	1.1492	3794.83	0.00115384	0.712923	4.07662	2.98662
828	3565.22	4059460	1.11434	0.947763	3820.15	0.00121152	1.20993	6.55899	3.00592
834	3830.39	4059530	1.12175	0.783864	3847.01	0.00113447	0.514428	5.48522	2.99881
840	3986.53	4059030	1.12717	0.668571	3869.48	0.00124165	2.42355	4.57278	2.99232
846	3951.86	4058530	1.13214	0.967302	3889.57	0.00136297	1.96761	5.26036	2.99225
852	3793.21	4058820	1.15336	1.03426	3913.3	0.00123561	1.76232	4.89236	2.97414
858	3912.21	4057860	1.16689	0.914464	3937.96	0.00114547	1.71689	5.08144	2.9786
864	3926.38	4057860	1.1581	0.995892	3963.81	0.0011057	1.85697	4.6762	3.00385
870	4077.48	4057410	1.17652	1.06113	3981.24	0.000898405	0.524869	3.53111	2.99068
876	3875.51	4057160	1.1843	0.554637	4007.29	0.000871041	1E-010	7.05777	2.99734
882	3990.09	4056540	1.20082	0.894306	4025.66	0.000767516	1.15513	6.20234	3.00838
888	4136.97	4056520	1.19858	1.0395	4055.04	0.000836888	1E-010	3.56262	2.99197
894	4063.04	4056150	1.21405	0.835472	4081.6	0.000866129	0.953037	5.64823	3.00224
900	3926.75	4055560	1.21551	0.887861	4102.71	0.000954055	2.23902	5.08497	3.00528
906	4127.08	4055840	1.22603	1.2325	4119.83	0.00116741	2.03221	6.00895	2.9975
912	4246.83	4055260	1.20933	0.857506	4143.94	0.00120413	0.696107	5.3155	3.00733
918	4127.05	4054880	1.2095	0.705871	4163.9	0.00138486	1.84876	6.27948	2.99406
924	4230.91	4054510	1.23259	1.0108	4184.99	0.00139521	0.960684	6.31748	2.97952
930	4190.87	4054150	1.2369	0.869162	4205.23	0.00139372	1.21312	6.50661	3.0059
936	4080.12	4053720	1.24284	1.0543	4231.12	0.00154977	0.304777	5.29986	2.991
942	4124.22	4053390	1.25513	1.08156	4247.92	0.00158471	2.34413	5.4631	3.0143
